FID,db_98s17_h,objectid,clogracodi,nlograconc,nlgpavofic,nlgpavresu,flgpavindp,indpav,ct,nmperimetr,nmtpvia,ttrechosul,db2gse_sde,sel,st_length_,Shape__Len
68.000000000000000,66.000000000000000,61620.000000000000000,67822.000000000000000,RUA DOS ARRECIFES,Rua dos Arrecifes,R. dos Arrecifes,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,57.055504970000001,0.000000000000000,57.621749923199999,57.621749923043090
70.000000000000000,68.000000000000000,61622.000000000000000,67857.000000000000000,RUA BIONE,Rua Bione,R. Bione,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,176.621652549999993,0.000000000000000,178.397936367999989,178.397936369110681
91.000000000000000,89.000000000000000,61644.000000000000000,67938.000000000000000,RUA BARAO RODRIGUES MENDES,Rua Barão Rodrigues Mendes,R. Barão Rodrigues Mendes,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,146.955687280000006,0.000000000000000,148.637067070000001,148.637067070305051
620.000000000000000,1110.000000000000000,62661.000000000000000,4391.000000000000000,TRV DO AMORIM,Travessa do Amorim,Trv do Amorim,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,111.843562100000000,0.000000000000000,112.956599455000003,112.956599456551572
838.000000000000000,1324.000000000000000,62873.000000000000000,6564.000000000000000,C DO APOLO,Cais do Apolo,C. do Apolo,S,Via Pavimentada,CTUP,,,2022/03/10 21:00:00.000,2211.619846149999830,0.000000000000000,2246.599353980000160,2246.599353980957403
839.000000000000000,1325.000000000000000,62874.000000000000000,6572.000000000000000,RUA DO APOLO,Rua do Apolo,R. do Apolo,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,271.740679740000019,0.000000000000000,275.638999812999998,275.638999810869052
999.000000000000000,1487.000000000000000,63045.000000000000000,8567.000000000000000,RUA DR ASCANIO PEIXOTO,Rua Dr Ascânio Peixoto,R. Dr Ascanio Peixoto,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,1020.413101740000002,0.000000000000000,1034.940307309999980,1034.940307305061879
1513.000000000000000,2490.000000000000000,64041.000000000000000,19429.000000000000000,RUA MADRE DE DEUS,Rua Madre de Deus,R. Madre de Deus,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,423.800401959999988,0.000000000000000,430.719474499000000,430.719474496311193
1521.000000000000000,1508.000000000000000,63052.000000000000000,8648.000000000000000,RUA DA ASSEMBLEIA,Rua da Assembleia,R. da Assembleia,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,125.692980649999996,0.000000000000000,127.704383901000000,127.704383902661675
1635.000000000000000,1617.000000000000000,63170.000000000000000,9881.000000000000000,AV BARBOSA LIMA,Avenida Barbosa Lima,Av Barbosa Lima,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,269.448094449999985,0.000000000000000,272.609562948000018,272.609562945688026
1765.000000000000000,1746.000000000000000,63294.000000000000000,11347.000000000000000,RUA BERNARDO VIEIRA DE MELO,Rua Bernardo Vieira de Melo,R. Bernardo Vieira de Melo,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00.000,422.361649349999993,0.000000000000000,429.270979316000023,429.270979318197476
1780.000000000000000,1763.000000000000000,63311.000000000000000,11894.000000000000000,RUA DO BOM JESUS,Rua do Bom Jesus,R. do Bom Jesus,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,337.560629670000026,0.000000000000000,342.601070989999982,342.601070989694449
1875.000000000000000,1856.000000000000000,63410.000000000000000,12580.000000000000000,RUA DO BRUM,Rua do Brum,R. do Brum,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,720.172119370000019,0.000000000000000,731.851359290999881,731.851359291292283
2077.000000000000000,574.000000000000000,62125.000000000000000,3638.000000000000000,RUA ALVARES CABRAL,Rua Álvares Cabral,R. Alvares Cabral,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,211.753135759999992,0.000000000000000,213.871325350000006,213.871325350416214
2367.000000000000000,864.000000000000000,62425.000000000000000,2348.000000000000000,RUA ALFANDEGA,Rua Alfândega,R. Alfândega,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,82.058135510000000,0.000000000000000,82.873437171000006,82.873437170094434
2381.000000000000000,878.000000000000000,62424.000000000000000,2330.000000000000000,C DA ALFANDEGA,Cais da Alfândega,C da Alfândega,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,463.287807240000006,0.000000000000000,470.255600700999992,470.255600700486809
2382.000000000000000,879.000000000000000,62441.000000000000000,2496.000000000000000,AV ALFREDO LISBOA,Avenida Alfredo Lisboa,Av Alfredo Lisboa,S,Via Pavimentada,CTUS,,,2022/03/10 21:00:00.000,1059.125224249999974,0.000000000000000,1075.015675610000017,1075.015675609734217
2907.000000000000000,4392.000000000000000,65940.000000000000000,42528.000000000000000,RUA DONA MARIA CESAR,Rua Dona Maria Cesar,R. Dona Maria Cesar,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,201.308095659999992,0.000000000000000,204.533172680999996,204.533172681042089
2961.000000000000000,4446.000000000000000,65997.000000000000000,43206.000000000000000,RUA MARIZ E BARROS,Rua Mariz e Barros,R. Mariz e Barros,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,348.812892649999981,0.000000000000000,354.487530267000011,354.487530268250396
3444.000000000000000,3915.000000000000000,65473.000000000000000,35050.000000000000000,RUA DE SAO JORGE,Rua de São Jorge,R. de São Jorge,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00.000,590.771398579999982,0.000000000000000,600.116833957000040,600.116833957798576
3643.000000000000000,3092.000000000000000,64644.000000000000000,28215.000000000000000,RUA DA GUIA,Rua da Guia,R. da Guia,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,264.232789439999976,0.000000000000000,268.211786747000019,268.211786745482641
4102.000000000000000,2569.000000000000000,64123.000000000000000,20206.000000000000000,RUA DOMINGOS JOSE MARTINS,Rua Domingos José Martins,R. Domingos José Martins,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,131.997301069999992,0.000000000000000,133.962881173000000,133.962881172552073
4157.000000000000000,2624.000000000000000,64166.000000000000000,20656.000000000000000,RUA EDGAR WERNECK,Rua Edgar Werneck,R. Edgar Werneck,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00.000,147.865022790000012,0.000000000000000,149.347213250000010,149.347213249588521
4544.000000000000000,4539.000000000000000,66095.000000000000000,44300.000000000000000,AV MILITAR,Avenida Militar,Av Militar,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,1423.680303970000068,0.000000000000000,1444.620147099999940,1444.620147103553563
4604.000000000000000,4599.000000000000000,66139.000000000000000,44784.000000000000000,RUA DA MOEDA,Rua da Moeda,R. da Moeda,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,165.878147159999997,0.000000000000000,167.525151021999989,167.525151020970725
4793.000000000000000,4786.000000000000000,66339.000000000000000,47090.000000000000000,RUA DO OCIDENTE,Rua do Ocidente,R. do Ocidente,P,Via Parcialmente Pavimentada,,,,2022/03/10 21:00:00.000,231.203110009999989,0.000000000000000,233.490534273000009,233.490534273739655
4807.000000000000000,4800.000000000000000,66337.000000000000000,47074.000000000000000,RUA DO OBSERVATORIO,Rua do Observatório,R. do Observatorio,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,141.335461490000000,0.000000000000000,142.767709128999996,142.767709129336367
4836.000000000000000,4830.000000000000000,66368.000000000000000,47406.000000000000000,AV MARQUES DE OLINDA,Avenida Marquês de Olinda,Av Marques de Olinda,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,327.675182909999990,0.000000000000000,330.955884577000006,330.955884576459482
5272.000000000000000,5247.000000000000000,66811.000000000000000,51136.000000000000000,RUA DO PILAR,Rua do Pilar,R. do Pilar,N,Via Não Pavimentada,,,,2022/03/10 21:00:00.000,107.331775489999998,0.000000000000000,108.425533263999995,108.425533263602929
5414.000000000000000,5389.000000000000000,66941.000000000000000,52639.000000000000000,RUA PRIMAVERA,Rua Primavera,R. Primavera,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,165.810027459999986,0.000000000000000,167.447358541000000,167.447358540139135
5569.000000000000000,6537.000000000000000,68081.000000000000000,65870.000000000000000,PRC ARSENAL DA MARINHA,Praça Arsenal da Marinha,Prç. Arsenal da Marinha,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,209.464367199999998,0.000000000000000,211.675911191000012,211.675911189548287
5590.000000000000000,6558.000000000000000,68105.000000000000000,66184.000000000000000,PRC DA COMUNIDADE LUSO BRASILEIRA,Praça da Comunidade Luso Brasileira,Prc da Comunidade Luso Brasileira,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,179.858522660000006,0.000000000000000,182.166261483000000,182.166261484636067
5593.000000000000000,6655.000000000000000,68206.000000000000000,67512.000000000000000,PTE CONDE MAURICIO DE NASSAU,Ponte Conde Maurício de Nassau,Pte Conde Mauríicio de Nassau,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,222.472916679999997,0.000000000000000,224.696624866999997,224.696624866159539
5652.000000000000000,6614.000000000000000,68165.000000000000000,66869.000000000000000,PRC RIO BRANCO,Praça Rio Branco,Prc Rio Branco,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,103.191659380000004,0.000000000000000,104.308194454000002,104.308194453209978
5668.000000000000000,6634.000000000000000,68185.000000000000000,67210.000000000000000,PTE BUARQUE DE MACEDO,Ponte Buarque de Macedo,Pte Buarque de Macedo,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,311.264903940000011,0.000000000000000,314.459142419999978,314.459142419718262
5678.000000000000000,6643.000000000000000,68194.000000000000000,67369.000000000000000,PTE GIRATORIA,Ponte Giratória,Pte Giratória,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,454.862935769999979,0.000000000000000,461.268958123999994,461.268958127087956
6143.000000000000000,6104.000000000000000,67645.000000000000000,60500.000000000000000,RUA VIGARIO TENORIO,Rua Vigário Tenório,R. Vigário Tenório,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,326.452664700000014,0.000000000000000,329.753098871000020,329.753098869695748
6170.000000000000000,6131.000000000000000,67674.000000000000000,60984.000000000000000,TRV TIRADENTES,Travessa Tiradentes,Trv Tiradentes,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,281.950520740000002,0.000000000000000,284.861070036000001,284.861070036449235
6186.000000000000000,6146.000000000000000,67691.000000000000000,61190.000000000000000,RUA TOMAZINA,Rua Tomazina,R. Tomazina,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,154.436120880000004,0.000000000000000,155.970748780999998,155.970748780090076
6229.000000000000000,6189.000000000000000,67735.000000000000000,61700.000000000000000,TRV TUYUTY,Travessa Tuyuty,Trv Tuyuty,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,75.715072039999995,0.000000000000000,76.471341071300003,76.471341070656905
6501.000000000000000,6463.000000000000000,68020.000000000000000,65218.000000000000000,RUA VITAL DE OLIVEIRA,Rua Vital de Oliveira,R. Vital de Oliveira,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,52.496358039999997,0.000000000000000,53.049442478000003,53.049442477576669
6649.000000000000000,7122.000000000000000,68666.000000000000000,73202.000000000000000,RUA DO MOINHO,Rua do Moinho,R. do Moinho,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,126.472969910000003,0.000000000000000,127.767741727000001,127.767741729190874
6824.000000000000000,7297.000000000000000,68849.000000000000000,75531.000000000000000,RUA ALUIZIO PERIQUITO,Rua Aluizio Periquito,R. Aluizio Periquito,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,74.138817910000000,0.000000000000000,74.871946180199998,74.871946180341311
6836.000000000000000,7310.000000000000000,68846.000000000000000,75485.000000000000000,RUA PROFESSOR ALOISIO MAGALHAES,Rua Professor Aloísio Magalhães,R. Prof Aloisio Magalhães,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,66.478480450000006,0.000000000000000,67.253874525100002,67.253874525663846
7305.000000000000000,5798.000000000000000,67346.000000000000000,57630.000000000000000,AV RIO BRANCO,Avenida Rio Branco,Av Rio Branco,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,265.078839350000010,0.000000000000000,267.810635601000001,267.810635601484080
8236.000000000000000,8212.000000000000000,69772.000000000000000,87920.000000000000000,RUA ITAIOPOLIS,Rua Itaiópolis,R. Itaiopolis,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,62.465303179999999,0.000000000000000,63.187560408099998,63.187560406843410
9580.000000000000000,9078.000000000000000,70627.000000000000000,107654.000000000000000,TRV DO APOLO,Travessa do Apolo,Trv do Apolo,S,Via Pavimentada,,,,2022/03/10 21:00:00.000,81.963294970000007,0.000000000000000,82.914819125099996,82.914819124747439
9614.000000000000000,9111.000000000000000,70661.000000000000000,108944.000000000000000,REF AVENIDA MILITAR,Refugio Avenida Militar,Ref Avenida Militar,X,Não definida,,,,2022/03/10 21:00:00.000,106.077655530000001,0.000000000000000,107.315239629999994,107.315239630130790
